"symbol","log2FC","pvalue","padj"
"ACTR3C",-0.0321048505255924,0.448252164418721,0.676925168468669
"ACTR5",0.00350357469185658,0.968493350811048,0.987031295802712
"ACTR6",0.105217845034829,0.357197810506689,0.632969171284309
"ACTR8",-0.105849838015467,0.38170364823427,0.632969171284309
"ACVR1",-0.0225658816266057,0.775971711887693,0.895876114829223
"ACVR1B",0.306452948918571,9.76603117983799e-05,0.0187819773378699
"ACVR1C",-0.13677990776243,0.000457926631322245,0.0333459677060089
"ACVR2A",0.0627045695221808,0.696125894359726,0.84903418043096
"ACVR2B",-0.0115235591554985,0.806495152825075,0.91262529404929
"ACVRL1",0.774556200992644,0.00247982051255797,0.0653019401640267
"ACY1",-0.166336820504773,0.305408956086769,0.610440980416565
"ACYP1",-0.461006648944844,0.210540732766844,0.500446257410817
"ACYP2",0.182634771434998,0.35286386981942,0.632969171284309
"ADA",-0.474584677488352,0.21010824593061,0.500023520748022
"ADAL",-0.164062739585689,0.221783973960656,0.51409228887779
"ADAM1",0.0530971293571421,0.531206133824474,0.740882733224115
"ADAM10",0.0249708133523079,0.74159052927023,0.876227393786724
"ADAM11",-0.181209380287271,0.0333310849353205,0.202171131283714
"ADAM12",-1.57676015640551,0.00213141719468318,0.0602063397695826
"ADAM15",0.000857618476273636,0.99306260571189,0.996930468426238
"ADAM17",0.454404134446511,0.0350765856661037,0.208019031380854
"ADAM19",0.429839469214094,0.0999443843258254,0.351423767864681
"ADAM20",0.00295877909103347,0.802596935051567,0.909861864711886
"ADAM21",-0.114729132915764,0.0839441109914947,0.324159062497155
"ADAM21P1",-0.0164444035657697,0.522910092414314,0.734760235740032
"ADAM22",-0.0133200832707093,0.525208319215959,0.736322210044939
"ADAM23",0.344115745340949,0.706252697434663,0.854618145962864
"ADAM28",0.0402811093911058,0.67058819353673,0.8338838980378
"ADAM29",-0.00965702562147328,0.191375339719935,0.481710357271433
"ADAM32",0.130575461035178,0.193402222327076,0.48410339885425
"ADAM33",-0.187303960501763,0.496481514747562,0.713344491962131
"ADAM5P",0.0112667525627285,0.391002218955771,0.632969171284309
"ADAM8",-0.0877427325021919,0.0703186442801685,0.294736511699574
"ADAM9",0.0920077364781795,0.362908785451091,0.632969171284309
"ADAMDEC1",-0.0538843119847741,0.366610098670636,0.632969171284309
"ADAMTS1",2.34103506100784,0.000858935052760044,0.0406144618378071
"ADAMTS10",-0.201736925270616,0.00392232842693232,0.0791637781024048
"ADAMTS12",-0.0467648739693063,0.890382940910867,0.951118676065618
"ADAMTS13",0.00274897985775269,0.989260533685863,0.99553454557773
"ADAMTS14",-2.0290522701795,0.000994216513981854,0.0420949972390487
"ADAMTS15",0.427212652718942,0.242025347406642,0.538653298385327
"ADAMTS16",-0.0286745677060815,0.0408254618887719,0.223622107766023
"ADAMTS17",0.0290106425431951,0.557412629914534,0.759562911869688
"ADAMTS19",-0.0617812816817188,0.104381017465428,0.36044651697243
"ADAMTS2",0.640871778561264,0.000548768874551347,0.0349741376422346
"ADAMTS3",0.412361511605014,0.237394431855016,0.533910819195738
"ADAMTS4",0.0720866081302997,0.505535288523464,0.721447211114991
"ADAMTS5",2.11036730619075,0.00719786578194947,0.100794719448621
"ADAMTS6",-0.180242963073041,0.310812498959919,0.616234452640999
"ADAMTS7",0.654916416176595,0.062265914882901,0.278707676050301
"ADAMTS8",0.119085500818801,0.821622994068504,0.919252807526039
"ADAMTS9",0.142364378657024,0.0372823703665253,0.213948093421628
"ADAMTS9-AS2",-0.0216275942706871,0.893146148406854,0.952238438015076
"ADAMTSL1",-0.914411777735217,0.106122395360525,0.364056951709873
"ADAMTSL2",-0.00738837502545056,0.758995650145233,0.885479737358774
"ADAMTSL3",0.00797063349491127,0.831266519018162,0.923763172872959
"ADAMTSL4",0.792727797474605,0.078350517000156,0.312579594908902
"ADAMTSL5",0.205048129166086,0.484920499542099,0.705070956869746
"ADAP1",0.63990460636785,0.0275987684803738,0.185397181008517
"ADAP2",-0.205393023814716,0.0974949084773163,0.347335664775099
"ADAR",-0.110648964521379,0.1030411810145,0.357323128089191
"ADARB1",2.12990743040182,0.0119376762486633,0.126359912971963
"ADARB2",0.00124682903618159,0.391006242329523,0.632969171284309
"ADAT1",-0.205034851073171,0.0322213041548218,0.198684767150973
"ADAT2",-0.523674530278993,0.000702464134179487,0.0378104875746748
